Index,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
0,564.3086542,10.37978308,86.99097046,2.963135381,0
1,592.8853591,15.18001312,56.32907628,4.500656275,0
2,418.6062131,16.86863693,66.42009251,3.05593375,0
3,363.2665162,18.4365245,100.3416744,4.628770537,0
4,398.4108134,11.55827944,31.99799273,4.075075425,0
5,280.4679159,8.39973464,54.91786184,2.559708228,0
6,283.6516335,13.78969532,84.60355617,2.672988737,0
7,474.6076449,12.3638167,62.79830896,4.401424715,0
8,389.3755659,12.70604897,53.92884577,3.595017181,0
9,563.8854815,17.92780641,71.97660103,4.370561937,0
10,425.3834195,15.58681044,78.74001566,3.662291783,0
11,364.0982305,14.5257457,76.48591118,4.011718108,0
12,347.7150273,15.92953591,79.50077834,3.445756223,0
13,379.7618348,19.37080718,76.50999553,4.413974183,0
14,444.6453523,13.2283111,70.30021265,4.777382337,0
15,516.7432819,11.53978119,75.07161729,4.376348291,0
16,315.1412672,20.39702184,56.65160379,4.268428858,0
17,477.9746419,13.38734078,71.45736221,4.503660796,0
18,431.44399,12.88875905,63.8212371,2.43608559,0
19,469.9145515,12.50916394,62.79727715,2.560299148,0
20,554.8200865,16.33169328,45.38281518,4.133422644,0
21,523.6712975,17.88423519,77.04231805,3.749701241,0
22,436.256194,14.18906221,59.85547583,5.459250956,0
23,444.4788825,16.60903316,90.18167588,4.528522696,0
24,472.8740733,11.25638117,56.93190645,4.82478639,0
25,413.2904501,14.89999957,79.84784281,5.200885077,0
26,441.7858757,13.80590221,30.2845972,4.184396969,0
27,298.9906665,12.72952472,49.5368488,4.004871128,0
28,364.4801067,10.34895076,53.00838135,3.991564248,0
29,563.8047433,16.56865557,52.67618503,6.038184953,0
30,342.1112863,7.922598333,71.53795326,5.088859989,0
31,452.8362349,16.8990378,47.08197119,2.857472426,0
32,412.9868338,12.89070856,65.73347839,5.057310517,0
33,411.9833642,10.24481507,44.48929725,3.160624468,0
34,383.981723,12.16693715,86.08072748,5.029166724,0
35,441.7483793,10.96648615,49.23823132,3.902088768,0
36,456.8600959,9.034066753,73.59465676,3.464353035,0
37,399.4715663,12.26500158,81.58899246,2.896546941,0
38,427.1306715,22.46989199,53.12409422,2.907563915,0
39,396.8769491,16.47196935,30.38331457,4.324004646,0
40,349.3996325,18.33889255,42.67746528,3.510004045,0
41,335.1203984,10.1805138,59.57271371,4.434820258,0
42,332.0327063,11.0931634,66.13804475,5.182590704,0
43,333.1924699,23.91760126,71.83362396,4.69070723,0
44,403.9441682,18.66822946,66.91240003,4.542801462,0
45,504.6382604,16.14079002,77.53618352,4.137739016,0
46,391.1843151,13.28533392,87.39088898,3.195710328,0
47,323.8079132,10.09086975,78.47278445,3.999775382,0
48,470.3291685,18.59940992,72.40363387,4.405586,0
49,404.7177992,13.76832331,47.93087188,3.626135442,0
50,383.79502,16.18206649,75.72943389,3.048057223,0
51,605.2201244,9.61134874,66.08417364,2.447444464,0
52,545.9749938,10.94202426,71.72741406,3.742090426,0
53,527.70891,18.27531211,47.63488493,3.794531591,0
54,456.5564021,16.48283537,34.25204908,3.96468635,0
55,404.6707773,15.93448387,66.62102655,4.781188177,0
56,481.3188027,6.016336609,39.09117136,3.94060453,0
57,405.330482,8.236557503,99.42738492,4.460683932,0
58,360.9959945,12.82386095,71.7170051,4.405385706,0
59,290.1809831,16.62225518,59.62205746,4.08990769,0
60,269.4490512,9.6541256,63.74306384,3.902879712,0
61,369.3381209,13.75810517,17.91572257,3.923749169,0
62,296.3975472,16.92709218,7.080794504,3.855602212,0
63,398.345418,12.38077079,48.44072487,4.477960248,0
64,416.2396301,11.11965925,78.27505004,4.068688909,0
65,362.1080043,14.93301266,63.87381995,5.215689206,0
66,669.7250862,13.35318143,76.52179975,5.106655774,0
67,485.9745005,11.35113273,67.86996368,4.620793452,0
68,333.329848,16.04514848,49.89840564,3.439740042,0
69,501.1827807,17.28771328,50.99300645,3.636364183,0
70,428.0363444,9.79962469,90.03537367,3.884891044,0
71,504.378681,9.001820488,48.14703125,4.157533407,0
72,556.65371,14.08360835,57.89707471,5.325833446,0
73,352.9425881,18.70440906,69.90790245,3.873470298,0
74,425.2135748,15.77183437,49.35200148,4.655916599,0
75,383.0143102,13.93478804,90.52332986,5.02278363,0
76,307.379142,9.712231911,79.85092857,3.762615331,0
77,467.5629729,14.56726886,50.5779791,3.662837732,0
78,477.5813462,16.24550434,57.72972383,2.293431406,0
79,425.9134002,8.992754272,69.50921982,3.50837265,0
80,410.3872638,15.6118593,54.29944409,5.013463351,0
81,443.5703721,18.0990781,7.080794504,3.75899586,0
82,504.1459941,11.53214401,81.10693773,3.772420928,0
83,514.1189201,12.25679025,82.46979843,2.994671096,0
84,573.4002951,9.833874585,95.02660928,4.191217515,0
85,417.241656,7.507662315,70.54738691,3.612519615,0
86,465.4137746,13.86396488,64.81225738,4.916579161,0
87,430.5077069,15.96604294,59.29227327,3.385508444,0
88,487.459131,9.347633986,67.91978869,5.00246726,0
89,506.9383527,13.55375101,42.38148394,2.555026904,0
90,575.1146944,11.87098148,69.10983568,4.383921814,0
